Código IES,Nome,Sigla,Código Endereço,Denominação,Endereço,Polo,Município,UF
5580,Afya Faculdade de Ciências Médicas de Garanhuns,AFYA GARANHUNS (Sub Judice),1046510,Campus Principal - Faculdade de Medicina de Garanhuns,"Avenida General Costa e Silva, 06 - Novo Heliópolis",-,Garanhuns,PE
5580,Afya Faculdade de Ciências Médicas de Garanhuns,AFYA GARANHUNS (Sub Judice),660090,Campus Principal,"Br 423 KM 79, s/n - Heliopolis",-,Garanhuns,PE
22514,Afya Faculdade de Ciências Médicas de Jaboatão dos Guararapes,AFYA JABOATÃO,1082343,Jaboatão dos Guararapes,"Avenida General Barreto de Menezes, - de 1 a 99999 - lado ímpar, 738 - Cajueiro Seco - Piedade",-,Jaboatão dos Guararapes,PE
73,CENTRO DE ENSINO SUPERIOR DE ARCOVERDE,CESA,657715,CAMPUS  - ARCOVERDE - SÃO CRISTOVÃO,"Rua Gumercindo Cavalcanti, PREDIO, 420 - SÃO CRISTOVÃO",-,Arcoverde,PE
674,CENTRO DE ENSINO SUPERIOR DO VALE SÃO FRANCISCO,CESVASF,1046638,Centro de Ensino Superior do Vale do São Francisco,"Alto do Encanto BR 315,  - Centro",-,Belém de São Francisco,PE
674,CENTRO DE ENSINO SUPERIOR DO VALE SÃO FRANCISCO,CESVASF,691892,CAMPUS  - BELÉM DE SÃO FRANCISCO - NOVA OLINDA,"BR 316 - Campus Alto do Encanto, s/n - Nova Olinda",-,Belém de São Francisco,PE
674,CENTRO DE ENSINO SUPERIOR DO VALE SÃO FRANCISCO,CESVASF,658025,CAMPUS  - BELÉM DE SÃO FRANCISCO - CENTRO,"Rua Coronel Trapia, Térreo, 202 - Centro",-,Belém de São Francisco,PE
674,CENTRO DE ENSINO SUPERIOR DO VALE SÃO FRANCISCO,CESVASF,33481,Campus - Petrolândia,"Rua Rui Barbosa, s/n - Quadra 1",-,Petrolândia,PE
4420,Centro Universitário Aeso,Barros Melo -  Uniaeso,659839,Centro Universitário Aeso Barros Melo - UNIAESO,"Avenida Transamazônica, 405 - Jardim Brasil II",A,Olinda,PE
4420,Centro Universitário Aeso,Barros Melo -  Uniaeso,1116641,Campus Recife,"Rua do Bom Jesus, 137 - Recife",-,Recife,PE
4420,Centro Universitário Aeso,Barros Melo -  Uniaeso,1123819,Polo Recife Bom Jesus,"Rua do Bom Jesus, Polo Recife Bom Jesus, 137 - Recife",A,Recife,PE
4702,CENTRO UNIVERSITÁRIO BRASILEIRO,UNIBRA,1064454,IBGM IBRATS,"Rua Professor Augusto Tabosa, 13 - Nossa Senhora das Dores",-,Caruaru,PE
4702,CENTRO UNIVERSITÁRIO BRASILEIRO,UNIBRA,141175,Unidade SEDE,"R Rua Joaquim Felipe, 250 - Boa Vista",A,Recife,PE
4702,CENTRO UNIVERSITÁRIO BRASILEIRO,UNIBRA,1078890,Campus II,"Rua Padre Inglês, 257 - Boa Vista",-,Recife,PE
3515,CENTRO UNIVERSITÁRIO DA VITÓRIA DE SANTO ANTÃO,UNIVISA,691887,CAMPUS  - VITÓRIA DE SANTO ANTÃO - CAJA,"Loteamento São Vicente Ferrer, 71 - Cajá",A,Vitória de Santo Antão,PE
1708,CENTRO UNIVERSITARIO DO RECIFE,UNIPESU,1159124,Unidade Dom Bosco,"Rua Dom Bosco, Unidade Dom Bosco, 551 - Boa Vista",-,Recife,PE
1708,CENTRO UNIVERSITARIO DO RECIFE,UNIPESU,1094875,Santos Araújo,"Rua Santos Araújo, Santos Araújo, 90 - Afogados",-,Recife,PE
1708,CENTRO UNIVERSITARIO DO RECIFE,UNIPESU,1067754,Afogados,"Rua São Miguel, Afogados, 176 - Afogados",-,Recife,PE
1805,CENTRO UNIVERSITÁRIO DOS GUARARAPES,UNIFG,1177732,POLO MACEIÓ - CENTRO,"Fernandes Lima, 8 - Farol",A,Maceió,AL
